交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
5063,空頭進場,2025-03-13 13:10,S_Add,21972,1,1098600,4860,0.44,4930,0.45,-1820,-0.17,1956940,489.24
5064,空頭出場,2025-03-13 21:55,S_Exit_Add,21858,1,1098150,5210,0.47,5280,0.48,-4770,-0.43,1962170,490.54
5064,空頭進場,2025-03-13 13:30,S_G_進,21963,1,1098150,5210,0.47,5280,0.48,-4770,-0.43,1962170,490.54
5065,空頭出場,2025-03-13 22:25,Trend Rev,22045,1,1096350,-5940,-0.54,3480,0.32,-6570,-0.60,1956250,489.06
5065,空頭進場,2025-03-13 13:35,S_Add,21927,1,1096350,-5940,-0.54,3480,0.32,-6570,-0.60,1956250,489.06
5066,空頭出場,2025-03-14 16:25,Trend Rev,21988,1,1097700,-1740,-0.16,1430,0.13,-1920,-0.17,1954510,488.63
5066,空頭進場,2025-03-14 13:30,S_Cmd,21954,1,1097700,-1740,-0.16,1430,0.13,-1920,-0.17,1954510,488.63
5067,空頭出場,2025-03-17 09:15,S_Exit,22201,1,1107100,-2990,-0.27,480,0.04,-2970,-0.27,1951520,487.88
5067,空頭進場,2025-03-17 09:05,S_Cmd,22142,1,1107100,-2990,-0.27,480,0.04,-2970,-0.27,1951520,487.88
5068,空頭出場,2025-03-18 15:00,S_Exit,22273,1,1109800,-3890,-0.35,180,0.02,-3870,-0.35,1947630,486.91
5068,空頭進場,2025-03-18 10:50,S_Cmd,22196,1,1109800,-3890,-0.35,180,0.02,-3870,-0.35,1947630,486.91
5069,空頭出場,2025-03-18 22:40,S_Exit,22173,1,1105900,-2790,-0.25,130,0.01,-2770,-0.25,1944840,486.21
5069,空頭進場,2025-03-18 22:20,S_Cmd,22118,1,1105900,-2790,-0.25,130,0.01,-2770,-0.25,1944840,486.21
5070,空頭出場,2025-03-19 12:10,S_Exit_G,22040,1,1105900,3860,0.35,3930,0.36,-670,-0.06,1948640,487.16
5070,空頭進場,2025-03-19 10:25,S_Cmd,22118,1,1105900,3860,0.35,3930,0.36,-670,-0.06,1948640,487.16
5071,空頭出場,2025-03-19 12:15,S_Exit,22029,1,1103850,2360,0.21,2430,0.22,-2720,-0.25,1951020,487.76
5071,空頭進場,2025-03-19 10:35,S_Add,22077,1,1103850,2360,0.21,2430,0.22,-2720,-0.25,1951020,487.76
5072,空頭出場,2025-03-19 12:35,S_Exit_Add,22006,1,1103150,2810,0.25,2880,0.26,-1970,-0.18,1953830,488.46
5072,空頭進場,2025-03-19 11:30,S_Add,22063,1,1103150,2810,0.25,2880,0.26,-1970,-0.18,1953830,488.46
5073,空頭出場,2025-03-19 12:35,S_Exit_Add,21984,1,1102950,3710,0.34,3780,0.34,-2170,-0.20,1957540,489.38
5073,空頭進場,2025-03-19 11:45,S_G_進,22059,1,1102950,3710,0.34,3780,0.34,-2170,-0.20,1957540,489.38
5074,空頭出場,2025-03-19 12:35,S_Exit_G,21984,1,1101300,2060,0.19,2130,0.19,-370,-0.03,1959620,489.91
5074,空頭進場,2025-03-19 12:30,S_Add,22026,1,1101300,2060,0.19,2130,0.19,-370,-0.03,1959620,489.91
